epoch,train_loss,train_acc,lr,val_loss,val_acc
1,1.1453585561554311,0.6598166823387146,0.001,0.3033236853778362,0.9225000143051147
2,0.24692592567811578,0.9290833473205566,0.001,0.14166490510106086,0.9602000117301941
3,0.14689514404004914,0.9556166529655457,0.001,0.09952097795903683,0.9711999893188477
4,0.11554377772292848,0.9653833508491516,0.001,0.08485301006585359,0.9739000201225281
5,0.0968387003798606,0.9704333543777466,0.001,0.07967037297785282,0.9754999876022339
6,0.0835642483464237,0.9743166565895081,0.001,0.06585716893896461,0.9797000288963318
7,0.07553225654666706,0.9768000245094299,0.001,0.06268914989195765,0.9793000221252441
8,0.06886088049386517,0.9783333539962769,0.001,0.059074632730334996,0.9801999926567078
9,0.061795242446458946,0.9807500243186951,0.001,0.05462578400038183,0.9819999933242798
10,0.05884427438348026,0.9813833236694336,0.001,0.05115703083574772,0.9843999743461609
