epoch,train_loss,train_acc,lr,val_loss,val_acc
1,0.7239178395651756,0.7937166690826416,0.001,0.15222976123914123,0.9552000164985657
2,0.1501091497534133,0.9554499983787537,0.001,0.10145243734004908,0.9672999978065491
3,0.10501016391084549,0.9683666825294495,0.001,0.0745819686097093,0.9761999845504761
4,0.08731863834756486,0.9735333323478699,0.001,0.07160162039945135,0.9763000011444092
5,0.07444638346738004,0.9765833616256714,0.001,0.07008507010614266,0.978600025177002
6,0.06487750793866655,0.9798333048820496,0.001,0.059496353640861345,0.9799000024795532
7,0.0582718547869553,0.9816333055496216,0.001,0.04810657790003461,0.984000027179718
8,0.05357521799333552,0.9832833409309387,0.001,0.05021274154569255,0.982699990272522
9,0.04999040685435559,0.9841166734695435,0.001,0.0465879810773913,0.9854999780654907
10,0.046278956619665974,0.9852833151817322,0.001,0.04909910963906441,0.9847000241279602
11,0.04128474493293052,0.986299991607666,0.001,0.047745079586457,0.9853000044822693
12,0.0398276776650009,0.9870166778564453,0.001,0.04403699277208943,0.986299991607666
13,0.03713693386141924,0.9880333542823792,0.001,0.04382944710851007,0.9865000247955322
14,0.03507999122895776,0.9885500073432922,0.001,0.043955535497298116,0.9868000149726868
15,0.03103574179509219,0.9898666739463806,0.001,0.04193786597807048,0.9865999817848206
